SỐ ĐĂNG KÝ LƯU HÀNH,NGÀY HẾT HIỆU LỰC SỐ ĐĂNG KÝ,"TÊN TÁ DƯỢC, VỎ NANGTÊN CƠ SỞ SẢN XUẤT",NƯỚC SẢN XUẤT,TIÊU CHUẨN CHẤT LƯỢNG
VD-36248-22,2027-12-30T00:00:00+07:00,Glycerin đậm đặc (Wilfarin Refined Glycerine 99.7%),PT. WILMAR NABATI INDONESIA,Indonesia,USP hiện hành
VD-36248-22,2027-12-30T00:00:00+07:00,D-sorbitol 70% (Sorbitol Solution 70% BP (NON Crystalline)),GULSHAN POLYSOLS LTD.,India,EP hiện hành
VD-36248-22,2027-12-30T00:00:00+07:00,Glycerin đậm đặc (Glycerine 99.5% USP),EDENOR OLEOCHEMICALS (M) SDN. BHD. (Formerly known as Emery Oleochemicals (M) Sdn. Bhd.),Malaysia,USP hiện hành
VD-36248-22,2027-12-30T00:00:00+07:00,Gelatin,"SAMMI INDUSTRY CO., LTD.",Korea,EP hiện hành
VD-33703-19,2024-10-23T00:00:00+07:00,Microcrystalline Cellulose NF/USP/EP/BP/JP/IP,"Mingtai Chemical Co., Ltd",Taiwan,NF/USP/EP/BP/JP/IP
893100121123,,Hydroxypropyl cellulose,"Nippon Soda Co., Ltd.,",Nhật Bản,USP phiên bản hiện hành
893100121123,,Hydroxypropyl methylcellulose,The Dow Chemical Company,Hoa Kỳ,USP phiên bản hiện hành
893100121123,,Polyethylene glycol 6000,"INEOS Oxide,",Bỉ,USP phiên bản hiện hành
893100121123,,Titanium dioxid,"Tioxide Europe S.r.l,",Ý,USP phiên bản hiện hành
893100121123,,Bột Talc,"Guangxi Longguang Talc Development Co., Ltd.,",Trung Quốc,USP phiên bản hiện hành
893100121123,,Isopropyl alcohol,"Top Solvent Co., Ltd.,",Thái Lan,USP phiên bản hiện hành
893100121123,,Magnesi stearat,Oleon Sdn Bhd,Malaysia,USP phiên bản hiện hành
893100121123,,Microcrystalline cellulose,"JRS Pharma GmbH & Co. KG.,",Đức,USP phiên bản hiện hành
893100121123,,Natri starch glycolat,"JRS Pharma GmbH & Co. KG.,",Đức,USP phiên bản hiện hành
893100121123,,Povidone K-90,"ISP (Singapore) Pte Ltd.,",Singapore,USP phiên bản hiện hành
893100121123,,Tinh bột ngô,Roquette Freres,Pháp,USP phiên bản hiện hành
VD-35552-22,2027-01-05T00:00:00+07:00,Povidon K30 (Povidone K30),"SHANGHAI YUKING NEW MATERIAL TECHNOLOGY CO., LTD",China,USP 2022
VD-35552-22,2027-01-05T00:00:00+07:00,Talc (Microtalc Pharma 30 Bags),ELEMENTIS MINERALS B.V.,The Netherlands,USP 2022
VD-35552-22,2027-01-05T00:00:00+07:00,Silic dioxyd keo (Aerosil® 200 Pharma),EVONIK OPERATIONS GMBH,Germany,EP 10.0
VD-35552-22,2027-01-05T00:00:00+07:00,Titan dioxyd (10004 Pretiox AV01FG),PRECHEZA A.S.,Czech Republic,EP 10.0
VD-35552-22,2027-01-05T00:00:00+07:00,Polyethylen glycol 6000 (Lipoxol 6000 Med Powder),SASOL GERMANY GMBH,Germany,EP 10.0
VD-35552-22,2027-01-05T00:00:00+07:00,Eudragit L100 (Eudragit® L 100),EVONIK OPERATIONS GMBH,Germany,Tiêu chuẩn nhà sản xuất
VD-35552-22,2027-01-05T00:00:00+07:00,Natri starch glycolat (Primojel®),DFE PHARMA BV,The Netherlands,EP 10.0
VD-35552-22,2027-01-05T00:00:00+07:00,Cellulose vi tinh thể 101 (Pharmacel® 101),DFE PHARMA INDIA PRIVATE LIMITED,India,EP 10.0
