SỐ GPLH,NGÀY HẾT HẠN,Tên nguyên liệu,PHÂN LOẠI,TIÊU CHUẨN,CƠ SỞ SẢN XUẤT NGUYÊN LIỆU,NƯỚC SẢN XUẤT NGUYÊN LIỆU,ĐỊA CHỈ CƠ SỞ SẢN XUẤT NGUYÊN LIỆU,PHẢI CẤP PHÉP NHẬP KHẨU
VD3-121-21,2024-06-03T00:00:00+07:00,Trazodone  hydrochloride,Dược chất,BP 2017,Piramal Pharma Limited,INDIA,NA,False
VD-28878-18,2023-02-22T00:00:00+07:00,Linezolid,Dược chất,TCCS,Symed Labs Limited,INDIA,India,False
VD-31303-18,2023-08-10T00:00:00+07:00,Potassium Guaiacolsulfonate,Dược chất,USP 38,"Zhejiang Jianfeng Haizhou Pharmaceutical Co.,Ltd",China.,"- A1 Rd, Linhai, Taizhou, Zhejiang, China",False
VD-16959-12,2020-02-27T00:00:00+07:00,Ascorbic acid 95% granulation,Dược chất,NSX,DSM Nutritional Products,USA,"206 Macks Island Drive, Belvidere, New Jersey 07823, USA",False
VD-16959-12,2020-02-27T00:00:00+07:00,Ascorbic acid 95% granulation,Dược chất,NSX,"Shandong Luwei Pharmaceutical Co., Ltd",CHINA,"Shuangfeng industrial park, Zichuan, Zibo, Shandong",False
VD-16959-12,2020-02-27T00:00:00+07:00,Ascorbic acid 95% granulation,Dược chất,NSX,Basf,Japan,"Roppongi-Hills Mori Tower 21F, 6-10-1 Roppongi, Minato-ku, Tokyo, Japan, 106-6121",False
VD-16959-12,2020-02-27T00:00:00+07:00,Ascorbic acid 95% granulation,Dược chất,NSX,DSM Nutritional Products Ltd,Switzerland,"Branch Site Sisseln, Hauptstrasse 4, CH-4334 Sisseln",False
893 110157523,2028-07-03T00:00:00+07:00,Clindamycin hydrocloride,Dược chất,EP hiện hành,ACS DOBFAR S.p.a,Italia,"Plant 5, Via tonale, 87, 24061 Albano S.Alessandro BG, Italia",False
893100000723,2028-02-27T00:00:00+07:00,Carbocisteine,Dược chất,BP 2019,Panchsheel Organics Limited,INDIA,"B6 - B7 Sector 'C', Industrial Estate, Sanwer Road, Indore - 452015 (M.P) - India",False
893100001123,2028-02-27T00:00:00+07:00,Bromhexine Hydrochloride,Dược chất,Ph. Eur.  9.0,Orex Pharma Pvt. Ltd.,INDIA,"Plot No. N-31, Additional MIDC, Anandnagar, Ambernath, Dist. Thane,",False
