id,title,title_py,title_en,product_info,product_info_en,group_id,group_session_id,category_id,cur_category_name_en,cur_category_name,hall_id,cur_hall_name,area_id,area,area_en,cur_area_name,logo,bg_cover,pos_no,addr,desc,sort,delete_time,create_time,update_time,hsort
45443,"A To Z Nutrition Int'l Inc/Ningxia Xinyue Chemical Co., Ltd.",,"A To Z Nutrition Int'l Inc/Ningxia Xinyue Chemical Co., Ltd.",[],[],11,24,91,Pharma Ingredients,制药原料,199,E2——E2,,美国,United States,,,,E2D77,,,0,,2024-05-16 20:30:19,2024-05-16 20:30:19,"A To Z Nutrition Int'l Inc/Ningxia Xinyue Chemical Co., Ltd."
45364,AARAMBH LIFE SCIENCE,,AARAMBH LIFE SCIENCE,[],[],11,24,91,Pharma Ingredients,制药原料,200,E1——E1,,印度,India,,,,E1F23,,,0,,2024-05-16 20:30:18,2024-05-16 20:30:18,AARAMBH LIFE SCIENCE
45329,Aarti Pharmalabs Ltd.,,Aarti Pharmalabs Ltd.,[],[],11,24,91,Pharma Ingredients,制药原料,200,E1——E1,,印度,India,,,,E1C28,,,0,,2024-05-16 20:30:18,2024-05-16 20:30:18,Aarti Pharmalabs Ltd.
45400,AASTRID LIFE SCIENCES PVT. LTD,,AASTRID LIFE SCIENCES PVT. LTD,[],[],11,24,91,Pharma Ingredients,制药原料,200,E1——E1,,印度,India,,,,E1N38,,,0,,2024-05-16 20:30:18,2024-05-16 20:30:18,AASTRID LIFE SCIENCES PVT. LTD
45446,Able Medical,,Able Medical,[],[],11,24,94,Finished Dosage,制剂,199,E2——E2,,泰国,Thailand,,,,E2E61,,,0,,2024-05-16 20:30:19,2024-05-16 20:30:19,Able Medical
45478,Aero Pump GmbH,,Aero Pump GmbH,[],[],11,24,100,Packaging & Drug Delivery,包装及给药系统,188,N5——N5,,德国,Germany,,,,N5G29,,,0,,2024-05-16 20:30:19,2024-05-16 20:30:19,Aero Pump GmbH
45304,Agno Pharma,,Agno Pharma,[],[],11,24,91,Pharma Ingredients,制药原料,200,E1——E1,,美国,United States,,,,E1A29,,,0,,2024-05-16 20:30:18,2024-05-16 20:30:18,Agno Pharma
45346,Alchem International Pvt.ltd,,Alchem International Pvt.ltd,[],[],11,24,91,Pharma Ingredients,制药原料,200,E1——E1,,印度,India,,,,E1D32,,,0,,2024-05-16 20:30:18,2024-05-16 20:30:18,Alchem International Pvt.ltd
45395,ALEMBIC PHARMACEUTICALS LTD,,ALEMBIC PHARMACEUTICALS LTD,[],[],11,24,91,Pharma Ingredients,制药原料,200,E1——E1,,印度,India,,,,E1N24,,,0,,2024-05-16 20:30:18,2024-05-16 20:30:18,ALEMBIC PHARMACEUTICALS LTD
45348,ALKALOIDS PVT. LTD.,,ALKALOIDS PVT. LTD.,[],[],11,24,91,Pharma Ingredients,制药原料,200,E1——E1,,印度,India,,,,E1D40,,,0,,2024-05-16 20:30:18,2024-05-16 20:30:18,ALKALOIDS PVT. LTD.
